recapitalisation: recapitalization
recapitalise: recapitalize
recapitalised: recapitalized
recapitalises: recapitalizes
recapitalising: recapitalizing
recognisable: recognizable
recognise: recognize
recognised: recognized
recognises: recognizes
recognising: recognizing
regularisation: regularization
regularisations: regularizations
regularise: regularize
regularised: regularized
regulariser: regularizer
regularisers: regularizers
regularises: regularizes
regularising: regularizing
reinitialise: reinitialize
reinitialised: reinitialized
reinitialises: reinitializes
reinitialising: reinitializing
relativise: relativize
relativised: relativized
relativises: relativizes
relativising: relativizing
renormalisable: renormalizable
renormalisation: renormalization
renormalise: renormalize
renormalised: renormalized
renormalises: renormalizes
renormalising: renormalizing
reorganisation: reorganization
reorganisations: reorganizations
reorganise: reorganize
reorganised: reorganized
reorganises: reorganizes
reorganising: reorganizing
reparameterisation: reparameterization
reparameterised: reparameterized
reserialisation: reserialization
reserialisations: reserializations
reserialise: reserialize
reserialised: reserialized
reserialises: reserializes
reserialising: reserializing
resynchronisation: resynchronization
resynchronisations: resynchronizations
resynchronise: resynchronize
resynchronised: resynchronized
resynchronises: resynchronizes
resynchronising: resynchronizing
revitalisation: revitalization
revitalise: revitalize
revitalised: revitalized
revitalises: revitalizes
revitalising: revitalizing
revolutionise: revolutionize
revolutionised: revolutionized
revolutionises: revolutionizes
revolutionising: revolutionizing
rigour: rigor
rigours: rigors
romanticise: romanticize
romanticised: romanticized
romanticises: romanticizes
romanticising: romanticizing
rumour: rumor
rumoured: rumored
rumours: rumors
sanitisation: sanitization
sanitisations: sanitizations
sanitise: sanitize
sanitised: sanitized
sanitiser: sanitizer
sanitisers: sanitizers
sanitises: sanitizes
sanitising: sanitizing
satirise: satirize
satirised: satirized
satirises: satirizes
satirising: satirizing
saviour: savior
saviours: saviors
savour: savor
savoured: savored
savouring: savoring
savours: savors
savoury: savory
scandalise: scandalize
scandalised: scandalized
scandalises: scandalizes
scandalising: scandalizing
schematise: schematize
schematised: schematized
schematises: schematizes
schematising: schematizing
scrutinise: scrutinize
scrutinised: scrutinized
scrutinises: scrutinizes
scrutinising: scrutinizing
sensationalise: sensationalize
sensationalised: sensationalized
sensationalises: sensationalizes
sensationalising: sensationalizing
sensitise: sensitize
sensitised: sensitized
sensitises: sensitizes
sensitising: sensitizing
sepulchre: sepulcher
sepulchres: sepulchers
serialisability: serializability
serialisable: serializable
serialisation: serialization
serialisations: serializations
serialise: serialize
serialised: serialized
serialiser: serializer
serialisers: serializers
serialises: serializes
serialising: serializing
sexualise: sexualize
sexualised: sexualized
sexualises: sexualizes
sexualising: sexualizing
signalled: signaled
signaller: signaler
signallers: signalers
signalling: signaling
singularise: singularize
singularised: singularized
singularises: singularizes
singularising: singularizing
skilful: skillful
skilfully: skillfully
socialisation: socialization
socialise: socialize
socialised: socialized
socialises: socializes
socialising: socializing
specialisation: specialization
specialisations: specializations
specialise: specialize
specialised: specialized
specialises: specializes
specialising: specializing
specialities: specialties
speciality: specialty
spectre: specter
spiralled: spiraled
spiralling: spiraling
splendour: splendor
splendours: splendors
stabilisation: stabilization
stabilisations: stabilizations
stabilise: stabilize
stabilised: stabilized
stabiliser: stabilizer
stabilisers: stabilizers
stabilises: stabilizes
stabilising: stabilizing
standardisation: standardization
standardisations: standardizations
standardise: standardize
standardised: standardized
standardiser: standardizer
standardisers: standardizers
standardises: standardizes
standardising: standardizing
stencilled: stenciled
stencilling: stenciling
sterilisation: sterilization
sterilise: sterilize
sterilised: sterilized
steriliser: sterilizer
sterilisers: sterilizers
sterilises: sterilizes
sterilising: sterilizing
stigmatisation: stigmatization
stigmatise: stigmatize
stigmatised: stigmatized
stigmatises: stigmatizes
stigmatising: stigmatizing
storey: story
storeys: stories
strategise: strategize
strategised: strategized
strategises: strategizes
strategising: strategizing
stylisation: stylization
stylisations: stylizations
stylise: stylize
stylised: stylized
stylises: stylizes
stylising: stylizing
subsidisation: subsidization
subsidise: subsidize
subsidised: subsidized
subsidises: subsidizes
subsidising: subsidizing
succour: succor
sulphur: sulfur
summarisation: summarization
summarisations: summarizations
summarise: summarize
summarised: summarized
summarises: summarizes
summarising: summarizing
symbolise: symbolize
symbolised: symbolized
symbolises: symbolizes
symbolising: symbolizing
sympathise: sympathize
sympathised: sympathized
sympathiser: sympathizer
sympathisers: sympathizers
sympathises: sympathizes
sympathising: sympathizing
synchronisation: synchronization
synchronisations: synchronizations
synchronise: synchronize
synchronised: synchronized
synchroniser: synchronizer
synchronisers: synchronizers
synchronises: synchronizes
synchronising: synchronizing
synthesise: synthesize
synthesised: synthesized
synthesises: synthesizes
synthesising: synthesizing
systematisation: systematization
systematise: systematize
systematised: systematized
systematises: systematizes
systematising: systematizing
tantalise: tantalize
tantalised: tantalized
tantalises: tantalizes
tantalising: tantalizing
tantalisingly: tantalizingly
terrorise: terrorize
terrorised: terrorized
terrorises: terrorizes
terrorising: terrorizing
theorise: theorize
theorised: theorized
theorises: theorizes
theorising: theorizing
titbit: tidbit
titbits: tidbits
tokenisation: tokenization
tokenise: tokenize
tokenised: tokenized
tokenises: tokenizes
tokenising: tokenizing
totalled: totaled
totalling: totaling
travelled: traveled
traveller: traveler
travellers: travelers
travelling: traveling
trivialisation: trivialization
trivialise: trivialize
trivialised: trivialized
trivialises: trivializes
trivialising: trivializing
tumour: tumor
tumours: tumors
tunnelled: tunneled
